"pop_code","VT","IH"
"CHL",0.0277343690395355,0.0827053487300873
"CLK",0.109951876103878,0.0513349771499634
"CPL",0.0407783016562462,0.0642736405134201
"DCK",0.0998782962560654,0.0426601208746433
"DPR",0.0206914059817791,0.0665774941444397
"GAM",0.0621148198843002,0.0493146106600761
"HBY",0.114700801670551,0.0536893904209137
"HST",0.0661624446511269,0.0456082671880722
"KAP",0.0591734535992146,0.0516017712652683
"LON",0.0292714480310678,0.08855289965868
"LPD",0.0215552747249603,0.0734399631619453
"MMT",0.0655142068862915,0.0383183136582375
"NBY",0.0251034181565046,0.0697693973779678
"NIC",0.0120330778881907,0.0671981051564217
"OFR",0.114574298262596,0.0543337054550648
"OUT",0.0925592631101608,0.059147447347641
"SKN",0.109474085271358,0.0634184628725052
"SLC",0.0173544082790613,0.0734006240963936
"SSR",0.0774167105555534,0.0989324152469635
"TIM",0.0507524982094765,0.055209044367075
"TUR",0.109155029058456,0.054178673774004
"USDA1",0.0241738948971033,0.0599777549505234
"USDA10",0.0351783111691475,0.0647057518362999
"USDA12",0.0281699728220701,0.064073421061039
"USDA13",0.0193196646869183,0.0643229335546494
"USDA14",0.0256799608469009,0.0681597143411636
"USDA15",0.0232373606413603,0.0700659304857254
"USDA16",0.0219246633350849,0.0691394209861755
"USDA17",0.0198324080556631,0.0709089413285255
"USDA18",0.020746074616909,0.0671729072928429
"USDA19",0.0252005234360695,0.0584405548870564
"USDA2",0.0233525540679693,0.0626270025968552
"USDA21",0.0264784637838602,0.0570972338318825
"USDA3",0.0366939976811409,0.0617708414793015
"USDA4",0.0264356750994921,0.0546811930835247
"USDA5",0.0355738438665867,0.0544910617172718
"USDA6",0.0300043430179358,0.0538008734583855
"USDA7",0.0300929844379425,0.0496913231909275
"USDA8",0.0381208211183548,0.0476058721542358
"USDA9",0.0370052941143513,0.0502169951796532
"VER",0.0219203401356936,0.0752589181065559
"WTR",0.0557007528841496,0.0570488609373569
